+---------------------------+-----------------+--------------------------------+---------------------------+----------------------------------------------------+-----------------+-----------------+
|         TIMESTAMP         |       TASK      |            FUNCTION            |            FILE           |                       MESSAGE                      |   PROCESS_TYPE  |      STATUS     |
+---------------------------+-----------------+--------------------------------+---------------------------+----------------------------------------------------+-----------------+-----------------+
| 2025-10-03 15:56:35       | IMP_DOC_QUALIS_ | connect                        | databasesrc.py            | dcConfig disponível: ['dbconnstr', 'dbschema',     | system          | information     |
|                           |                 |                                |                           | 'projectname', 'folderlog', 'logtablename',        |                 |                 |
|                           |                 |                                |                           | 'databasename', 'tabdocumentosged', 'url_inicial', |                 |                 |
|                           |                 |                                |                           | 'url_api_processo', 'database']                    |                 |                 |
| 2025-10-03 15:56:36       | IMP_DOC_QUALIS_ | connect                        | databasesrc.py            | :::Processo de Conexão Iniciado:::                 | system          | information     |
| 2025-10-03 15:56:37       | IMP_DOC_QUALIS_ | connect                        | databasesrc.py            | Conectado com sucesso ao PostgreSQL: PostgreSQL    | system          | success         |
|                           |                 |                                |                           | 17.6 on aarch64-unknown-linux-gnu, comp            |                 |                 |
| 2025-10-03 15:56:38       | IMP_DOC_QUALIS_ | verifica_arq_existe            | planilha_processar.py     | Arquivo encontrado                                 | system          | information     |
| 2025-10-03 15:56:38       | IMP_DOC_QUALIS_ | verifica_arq_existe            | planilha_processar.py     | Nome do arquivo: Tabela - Pastas GED por           | system          | information     |
|                           |                 |                                |                           | setor.xlsx                                         |                 |                 |
| 2025-10-03 15:56:39       | IMP_DOC_QUALIS_ | carregardadosplanilha          | planilha_processar.py     | Carregando dados da planilha                       | system          | information     |
|                           |                 |                                |                           | data\input\Capturados\Tabela - Pastas GED por      |                 |                 |
|                           |                 |                                |                           | setor.xlsx                                         |                 |                 |
| 2025-10-03 15:56:40       | IMP_DOC_QUALIS_ | carregardadosplanilha          | planilha_processar.py     | Abas encontradas: ['LINK POR UNIDADE', 'LINK POR   | system          | information     |
|                           |                 |                                |                           | SETOR']                                            |                 |                 |
| 2025-10-03 15:56:40       | IMP_DOC_QUALIS_ | carregardadosplanilha          | planilha_processar.py     | Processando aba: LINK POR UNIDADE                  | system          | information     |
| 2025-10-03 15:56:41       | IMP_DOC_QUALIS_ | carregardadosplanilha          | planilha_processar.py     | Aba 'LINK POR UNIDADE' carregada com sucesso.      | system          | information     |
|                           |                 |                                |                           | Linhas: 6, Colunas: ['Unidade', 'Tipo de           |                 |                 |
|                           |                 |                                |                           | documento', 'Link']                                |                 |                 |
| 2025-10-03 15:56:41       | IMP_DOC_QUALIS_ | carregardadosplanilha          | planilha_processar.py     | Processando aba: LINK POR SETOR                    | system          | information     |
| 2025-10-03 15:56:42       | IMP_DOC_QUALIS_ | carregardadosplanilha          | planilha_processar.py     | Aba 'LINK POR SETOR' carregada com sucesso.        | system          | information     |
|                           |                 |                                |                           | Linhas: 148, Colunas: ['Unidade', 'Setor', 'Tipo   |                 |                 |
|                           |                 |                                |                           | de documento', 'Link']                             |                 |                 |
| 2025-10-03 15:56:42       | IMP_DOC_QUALIS_ | carregardadosplanilha          | planilha_processar.py     | Dados carregados com sucesso de 2 aba(s)           | system          | information     |
| 2025-10-03 15:56:43       | IMP_DOC_QUALIS_ | processar_dados_completos      | planilha_processar.py     | Processando dados de 2 aba(s)                      | system          | information     |
| 2025-10-03 15:56:44       | IMP_DOC_QUALIS_ | processar_dados_completos      | planilha_processar.py     | Processando aba: LINK POR UNIDADE                  | system          | information     |
| 2025-10-03 15:56:44       | IMP_DOC_QUALIS_ | processar_aba_unidade          | planilha_processar.py     | Processando 6 registros da aba LINK POR UNIDADE    | system          | information     |
| 2025-10-03 15:56:45       | IMP_DOC_QUALIS_ | processar_aba_unidade          | planilha_processar.py     | Processados 6 registros da aba UNIDADE             | system          | information     |
| 2025-10-03 15:56:45       | IMP_DOC_QUALIS_ | processar_dados_completos      | planilha_processar.py     | Processando aba: LINK POR SETOR                    | system          | information     |
| 2025-10-03 15:56:46       | IMP_DOC_QUALIS_ | processar_aba_setor            | planilha_processar.py     | Processando 148 registros da aba LINK POR SETOR    | system          | information     |
| 2025-10-03 15:56:46       | IMP_DOC_QUALIS_ | processar_aba_setor            | planilha_processar.py     | Processados 148 registros da aba SETOR             | system          | information     |
| 2025-10-03 15:56:47       | IMP_DOC_QUALIS_ | processar_dados_completos      | planilha_processar.py     | Total de registros processados: 154                | system          | information     |
| 2025-10-03 15:56:47       | IMP_DOC_QUALIS_ | verifica_arq_existe            | planilha_processar.py     | Dados processados com sucesso: 154 registros       | system          | information     |
| 2025-10-03 15:56:48       | IMP_DOC_QUALIS_ | _tentar_mover_arquivo          | planilha_processar.py     | Arquivo movido com sucesso:                        | system          | information     |
|                           |                 |                                |                           | data\input\Processados\Tabela - Pastas GED por     |                 |                 |
|                           |                 |                                |                           | setor.xlsx                                         |                 |                 |
| 2025-10-03 15:56:48       | IMP_DOC_QUALIS_ | verifica_arq_existe            | planilha_processar.py     | Arquivo processado com sucesso                     | system          | information     |
| 2025-10-03 15:56:49       | IMP_DOC_QUALIS_ | Main                           | main.py                   | Iniciando inserção de 154 registros na tabela      | system          | information     |
|                           |                 |                                |                           | documentos_ged                                     |                 |                 |
| 2025-10-03 15:56:49       | IMP_DOC_QUALIS_ | confere_conexao_do_banco       | tabela_documentos_ged.py  | db_manager está conectado                          | system          | information     |
| 2025-10-03 15:56:50       | IMP_DOC_QUALIS_ | inserir_registro               | tabela_documentos_ged.py  | Registro inserido com sucesso - Unidade:           | system          | success         |
|                           |                 |                                |                           | Coorporativo, Setor: , Link: https://fibrasacombr. |                 |                 |
|                           |                 |                                |                           | sharepoint.com/sites/GED/DocumentosSolicitacoes/Co |                 |                 |
